R&D Spend,Administration,Marketing Spend,State,Profit
140062,131142.0898,339029.0507,California,168686.6571
142634,131521.9344,343991.7317,Florida,170883.8945
51407,118049.1155,167968.9861,California,92949.45565
71393,121000.739,206532.0276,Florida,110023.323
90687,123850.1648,243759.8533,New York,126506.0207
95482,124558.3123,253011.8189,California,130602.3478
79898,122256.7962,222942.4484,New York,117289.0711
80315,122318.3806,223747.051,Florida,117645.3106
116953,127729.2474,294440.1721,New York,148944.8378
77184,121855.9803,217705.778,California,114970.5243
141804,131399.3563,342390.2444,New York,170174.8327
51183,118016.0342,167536.7775,Florida,92758.09438
109716,126660.4543,280476.3608,Florida,142762.3312
140198,131162.1749,339291.463,New York,168802.8408
8318,111685.5357,84828.64289,California,56138.89476
130650,129752.0827,320868.571,Florida,160646.0668
132796,130069.0138,325009.2838,New York,162479.376
114589,127380.1211,289878.8276,Florida,146925.293
14349,112576.2213,96465.47386,New York,61291.12602
74459,121453.5399,212447.883,Florida,112642.5803
78709,122081.1992,220648.2696,New York,116273.3187
70529,120873.1396,204864.9373,California,109285.2152
63481,119832.2588,191265.802,Florida,103264.1697
12968,112372.2689,93800.83059,California,60111.34964
7251,111527.9563,82769.86348,New York,55227.36587
28913,114727.0991,124566.7516,Florida,73733.02555
57470,118944.527,179667.5611,California,98129.02423
39280,116258.1449,144569.9064,New York,82589.46419
140284,131174.8757,339457.4003,California,168876.3098
65509,120131.7631,195178.8336,California,104996.6726
115538,127520.2737,291709.9257,Florida,147736.0156
155075,133359.278,367996.6752,California,181512.1335
54112,118448.6022,173188.2909,New York,95260.31381
50269,117881.0505,165773.212,California,91977.27207
90441,123813.8344,243285.1957,New York,126295.865
146667,132117.5463,351773.4162,Florida,174329.2516
81041,122425.5996,225147.87,California,118265.5261
122666,128572.9692,305463.4212,New York,153825.4044
52746,118246.8651,170552.5902,California,94093.35179
139181,131011.9797,337329.1588,California,167934.0264
63457,119828.7144,191219.494,Florida,103243.6667
130989,129802.1478,321522.6724,New York,160935.6715
67877,120481.4801,199747.896,Florida,107019.6345
145505,131945.9368,349531.334,New York,173336.5651
28236,114627.1167,123260.4783,California,73154.67029
113363,127199.0598,287513.2573,Florida,145877.9318
134787,130363.0537,328850.9238,New York,164180.2702
158727,133898.622,375043.2191,California,184632.0056
120520,128256.0382,301322.7083,Florida,151992.0952
60472,119387.876,185459.9283,California,100693.6069
154106,133216.1717,366126.987,Florida,180684.3252
40219,116396.8207,146381.7095,California,83391.64379
84406,122922.5582,231640.6467,Florida,121140.2166
20629,113503.6803,108582.751,New York,66656.07583
87536,123384.8108,237679.9902,California,123814.1486
118530,127962.1459,297482.9979,New York,150292.0553
129325,129556.4007,318311.9798,Florida,159514.1307
44466,117024.037,154576.3076,New York,87019.81924
55907,118713.696,176651.7484,California,96793.76682
65694,120159.0848,195535.7916,New York,105154.7165
148622,132406.2696,355545.594,Florida,175999.3913
140627,131225.5315,340119.2197,Florida,169169.3318
156713,133601.1853,371157.2006,New York,182911.4628
100606,125315.048,262898.5909,California,134979.7368
24830,114124.1031,116688.592,Florida,70244.95388
141159,131304.0997,341145.7152,New York,169623.8148
101587,125459.9265,264791.4331,Florida,135817.7966
1215,110636.5323,71123.385,New York,50070.86316
13269,112416.722,94381.61091,Florida,60368.49134
155679,133448.4795,369162.0948,New York,182028.1255
50634,117934.9554,166477.4805,California,92289.08842
158637,133885.3304,374869.5639,Florida,184555.1194
101322,125420.7901,264280.1149,California,135591.4094
28980,114736.994,124696.0283,New York,73790.26307
130675,129755.7748,320916.8085,Florida,160667.424
84533,122941.3141,231885.6935,California,121248.7116
101223,125406.1693,264089.0941,New York,135506.8346
123282,128663.9429,306651.9948,California,154351.6479
79009,122125.5046,221227.1204,California,116529.6061
109841,126678.9148,280717.5486,Florida,142869.1176
96021,124637.9143,254051.8209,California,131062.8109
136849,130667.5793,332829.5584,New York,165941.819
144390,131781.2685,347379.9385,California,172384.0302
109658,126651.8885,280364.4496,New York,142712.7823
50050,117848.7076,165350.6509,Florida,91790.18226
60170,119343.2753,184877.2185,California,100435.6109
112043,127004.1162,284966.3136,New York,144750.2672
103519,125745.2531,268519.2324,California,137468.2876
132029,129955.7397,323529.3552,New York,161824.1346
51373,118044.0942,167903.383,California,92920.40974
69518,120723.8305,202914.21,Florida,108421.5267
107707,126363.756,276599.9898,New York,141046.0598
125384,128974.3759,310707.8096,Florida,156147.3684
156397,133554.517,370547.4778,New York,182641.5067
118745,127993.8981,297897.841,California,150475.728
36008,115774.9211,138256.5735,Florida,79794.22283
7959,111632.517,84135.95141,New York,55832.20416
121607,128416.5713,303420.0778,California,152920.7099
113168,127170.2613,287137.0042,Florida,145711.345
92665,124142.2849,247576.4097,California,128195.809
36840,115897.7946,139861.9198,Florida,80504.99325
144661,131821.291,347902.8337,California,172615.5432
62251,119650.6068,188892.5137,Florida,102213.3913
49407,117753.7464,164109.9806,New York,91240.87291
127740,129322.3207,315253.718,California,158160.0789
6101,111358.1191,80550.93534,New York,54244.9308
142977,131572.5902,344653.5511,Florida,171176.9165
138529,130915.6893,336071.123,New York,167377.0285
122905,128608.2658,305924.5723,California,154029.5801
66102,120219.3401,196323.0287,New York,105503.2673
18930,113252.7642,105304.5259,Florida,65204.63479
18903,113248.7767,105252.4293,Florida,65181.56893
140704,131236.9032,340267.7914,New York,169235.1122
112110,127014.0111,285095.5903,California,144807.5047
143046,131582.7805,344786.6868,Florida,171235.8626
50864,117968.9228,166921.2661,New York,92485.57543
132160,129975.0864,323782.1201,Florida,161936.0467
68920,120635.5151,201760.3674,New York,107910.6604
157947,133783.428,373538.207,Florida,183965.6583
120687,128280.7015,301644.9353,New York,152134.7618
3372,110955.0879,75285.32239,California,51913.56964
53012,118286.1492,171065.8379,Florida,94320.5933
64233,119943.3176,192716.7881,California,103906.5968
102541,125600.8176,266632.1787,New York,136632.7906
27996,114591.6724,122797.3976,Florida,72949.64036
3111,110916.5422,74781.72217,California,51690.5996
66932,120341.9182,197924.516,New York,106212.3292
118012,127885.6453,296483.5154,California,149849.5324
18192,113143.773,103880.5529,California,64574.16776
83511,122790.3805,229913.7417,Florida,120375.6258
123767,128735.5699,307587.8037,California,154765.9792
44424,117017.8343,154495.2685,New York,86983.939
143423,131638.4576,345514.1093,California,171557.9304
127190,129241.0942,314192.4915,New York,157690.2186
22014,113708.2234,111255.1123,Florida,67839.26938
148327,132362.7026,354976.3907,California,175747.3753
4852,111173.6611,78140.98643,New York,53177.92087
87342,123356.16,237305.6667,California,123648.4161
12412,112290.1563,92728.02707,California,59636.36364
66380,120260.3964,196859.4305,Florida,105740.7603
135781,130509.8522,330768.8495,New York,165029.4358
154047,133207.4583,366013.1464,Florida,180633.922
91262,123935.0835,244869.3174,New York,126997.2382
143575,131660.9056,345807.3938,California,171687.7827
89669,123699.822,241795.6195,Florida,125636.3521
3737,111008.9928,75989.59088,New York,52225.38599
12816,112349.8208,93507.54618,California,59981.49735
46750,117361.3485,158983.2918,Florida,88971.02073
16708,112924.6091,101017.1708,California,63306.39937
11277,112122.5343,90538.04147,Florida,58666.74293
32758,115294.9462,131985.6896,California,77017.77587
131074,129814.701,321686.6801,Florida,161008.2863
33729,115438.348,133859.2368,New York,77847.29279
56708,118831.9913,178197.28,California,97478.0542
43245,116843.7142,152220.3848,New York,85976.72948
117945,127875.7505,296354.2388,Florida,149792.2949
93533,124270.4751,249251.2181,New York,128937.3339
36345,115824.6907,138906.8159,California,80082.11902
123150,128644.4486,306397.3005,New York,154238.8815
146767,132132.3147,351966.3665,Florida,174414.6808
125425,128980.4309,310786.9192,Florida,156182.3943
26154,114319.6374,119243.2536,New York,71376.03566
113132,127164.9447,287067.5421,California,145680.5905
159191,133967.1476,375938.5084,Florida,185028.3968
23281,113895.3397,113699.7923,New York,68921.65655
145038,131876.9681,348630.2563,Florida,172937.611
119016,128033.9206,298420.7362,New York,150707.2409
159570,134023.1201,376669.7899,Florida,185352.1732
66705,120308.3938,197486.5188,New York,106018.405
96720,124741.1458,255400.5433,California,131659.9605
77031,121833.3846,217410.564,Florida,114839.8177
56584,118813.6785,177958.0217,California,97372.12207
34269,115518.0976,134901.1683,New York,78308.61013
43002,116807.8268,151751.5156,Florida,85769.13667
90606,123838.2024,243603.5636,California,126436.8231
21297,113602.3336,109871.6588,New York,67226.74247
147448,132232.8879,353280.3578,California,174996.4532
11931,112219.12,91799.93626,California,59225.44949
62868,119741.7282,190083.0169,Florida,102740.489
107864,126386.9425,276902.9217,California,141180.1836
126763,129178.0329,313368.5938,New York,157325.4362
48320,117593.2133,162012.6111,California,90312.25819
132750,130062.2203,324920.5267,New York,162440.0786
90232,123782.9684,242881.9296,Florida,126117.3181
11415,112142.9148,90804.31285,California,58784.63514
136367,130596.3953,331899.5381,New York,165530.0505
48599,117634.4173,162550.9424,California,90550.60548
131209,129834.6384,321947.163,New York,161123.6156
44805,117074.1021,155230.409,California,87309.42402
27745,114554.6036,122313.0924,Florida,72735.21323
56428,118790.6397,177657.0193,New York,97238.85262
22961,113848.0807,113082.3514,Florida,68648.28331
127002,129213.3295,313829.745,New York,157529.6118
42722,116766.4752,151211.2548,California,85529.93509
36880,115903.702,139939.0999,Florida,80539.1649
134020,130249.7797,327370.9952,New York,163525.0287
105406,126023.9338,272160.204,California,139080.3354
135965,130537.0261,331123.878,Florida,165186.6254
22609,113796.0957,112403.1664,California,68347.57275
48592,117633.3835,162537.4359,Florida,90544.62544
45646,117198.3048,156853.1208,California,88027.88306
18687,113216.8769,104835.6567,Florida,64997.04199
159134,133958.7296,375828.5267,New York,184979.7022
25194,114177.8603,117390.931,California,70555.91594
49370,117748.2821,164038.589,New York,91209.26412
83997,122862.1552,230851.4801,Florida,120790.8114
127102,129228.0979,314022.6953,New York,157615.041
112617,127088.8871,286073.8482,California,145240.6305
18790,113232.0884,105034.3955,New York,65085.034
31530,115113.5896,129616.2603,Florida,75968.70607
154761,133312.905,367390.8113,Florida,181243.886
62322,119661.0924,189029.5084,New York,102274.046
138389,130895.0135,335800.9926,California,167257.4277
54437,118496.5997,173815.3793,Florida,95537.9585
128678,129460.8488,317063.5916,New York,158961.4042
36374,115828.9736,138962.7715,Florida,80106.89347
91354,123948.6704,245046.8317,New York,127075.833
159026,133942.7797,375620.1405,Florida,184887.4387
21362,113611.9331,109997.0765,New York,67282.27141
33021,115333.7873,132493.1489,California,77242.4545
135411,130455.2089,330054.9335,Florida,164713.348
41996,116659.2562,149810.4359,California,84909.71956
129894,129640.4332,319409.8669,New York,160000.2225
29076,114751.1717,124881.2606,Florida,73872.27504
60970,119461.4229,186420.8207,California,101119.044
68150,120521.798,200274.6503,New York,107252.8561
79611,122214.4107,222388.6811,California,117043.8895
125073,128928.446,310107.7342,California,155881.6838
108627,126499.6258,278375.1323,Florida,141832.0079
38547,116149.8921,143155.5809,California,81963.26862
109403,126614.229,279872.4264,New York,142494.938
110385,126759.2552,281767.1981,California,143333.8521
27445,114510.2982,121734.2416,New York,72478.92582
99603,125166.9203,260963.2997,Florida,134122.8826
10372,111988.8798,88791.8415,California,57893.60924
146341,132069.4011,351144.3983,New York,174050.7527
20181,113437.5176,107718.3338,California,66273.3533
105465,126032.6472,272274.0447,California,139130.7386
58528,119100.7772,181708.975,Florida,99032.8645
107739,126368.4819,276661.7339,New York,141073.3972
125610,129007.7526,311143.8772,Florida,156340.4382
45698,117205.9844,156953.455,New York,88072.30621
90555,123830.6705,243505.159,California,126393.2542
19468,113332.2185,106342.5983,Florida,65664.24355
100506,125300.2795,262705.6406,New York,134894.3077
72494,121163.3397,208656.4101,California,110963.8978
63372,119816.1612,191055.4862,Florida,103171.0519
41878,116641.8294,149582.7545,California,84808.91317
105962,126106.0464,273233.0075,Florida,139555.3214
23028,113857.9755,113211.6281,California,68705.52083
55229,118613.5659,175343.5455,Florida,96214.55727
57839,118999.0226,180379.5476,New York,98444.25774
112421,127059.941,285695.6657,California,145073.1894
104830,125938.8675,271048.8105,New York,138588.2636
105004,125964.5646,271384.5439,Florida,138736.9103
33474,115400.6884,133367.2136,New York,77629.44849
101381,125429.5035,264393.9555,California,135641.8126
49895,117825.8165,165051.5779,New York,91657.76709
140901,131265.9971,340647.9035,Florida,169403.4076
99011,125079.4911,259821.0341,Florida,133617.1421
25140,114169.8853,117286.7378,New York,70509.78421
88069,123463.5267,238708.4152,California,124269.4859
5954,111336.4094,80267.29844,Florida,54119.34996
146657,132116.0694,351754.1212,New York,174320.7087
120300,128223.5476,300898.2177,Florida,151804.1511
153919,133188.5546,365766.17,New York,180524.5727
6952,111483.7986,82192.94216,Florida,54971.93275
24538,114080.9792,116125.1772,New York,69995.5008
33718,115436.7234,133838.0123,California,77837.89559
60311,119364.0988,185149.2784,Florida,100556.066
158104,133806.6145,373841.1389,California,184099.7821
120265,128218.3786,300830.6851,New York,151774.2509
122843,128599.1094,305804.9431,Florida,153976.614
156926,133632.6421,371568.1847,California,183093.4268
50112,117857.864,165470.28,New York,91843.14832
12068,112239.3528,92064.27813,California,59342.48741
78098,121990.964,219469.3435,California,115751.3466
69762,120759.8655,203385.0087,Florida,108629.9738
156672,133595.1302,371078.091,California,182876.4368
110066,126712.1438,281151.6868,New York,143061.3332
149352,132514.0793,356954.131,California,176623.024
123926,128759.0518,307894.5946,New York,154901.8116
155584,133434.4494,368978.7921,Florida,181946.9678
59551,119251.8585,183682.8563,California,99906.80457
32892,115314.736,132244.243,New York,77132.25091
148355,132366.8378,355030.4168,California,175771.2955
34087,115491.219,134549.9988,New York,78153.1291
9153,111808.8523,86439.77767,California,56852.22806
141090,131293.9095,341012.5795,Florida,169564.8687
30917,115023.059,128433.4751,New York,75445.02546
116032,127593.2299,292663.1,Florida,148158.0355
111403,126909.5981,283731.4319,New York,144203.5207
109089,126567.856,279266.5626,California,142226.6905
147916,132302.0043,354183.3651,Florida,175396.2616
80883,122402.2655,224843.0086,New York,118130.5481
69933,120785.1196,203714.9537,California,108776.0576
68302,120544.2461,200567.9347,Florida,107382.7084
83794,122832.1752,230459.791,California,120617.3903
118649,127979.7204,297712.6087,Florida,150393.716
66766,120317.4026,197604.2185,California,106070.5168
130880,129786.0502,321312.3566,Florida,160842.5538
114090,127306.4265,288916.0057,New York,146499.0017
56983,118872.6046,178727.8933,California,97712.98433
90073,123759.4865,242575.1387,New York,125981.4858
26750,114407.6574,120393.2372,Florida,71885.19331
94859,124466.3048,251809.7387,New York,130070.1243
64520,119985.7031,193270.5554,California,104151.7784
66882,120334.534,197828.0408,New York,106169.6146
114904,127426.6417,290486.621,Florida,147194.3948
108270,126446.9024,277686.2998,Florida,141527.0259
76026,121684.9616,215471.4138,New York,113981.2549
158668,133889.9086,374929.3785,California,184581.6024
5885,111326.2192,80134.16275,Florida,54060.40386
32007,115184.0351,130536.6331,New York,76376.20305
58843,119147.2979,182316.7684,Florida,99301.96628
57863,119002.567,180425.8557,New York,98464.76074
146290,132061.8692,351045.9937,Florida,174007.1838
92831,124166.8005,247896.7072,New York,128337.6214
149026,132465.9341,356325.1131,California,176344.525
68638,120593.8681,201216.2476,Florida,107669.7503
48519,117622.6025,162396.5822,California,90482.26217
35910,115760.448,138067.4822,New York,79710.50227
41614,116602.8407,149073.3658,Florida,84583.38025
137713,130795.1787,334496.6487,California,166679.9267
29287,114782.3332,125288.3857,New York,74052.53052
94648,124435.1434,251402.6136,California,129889.8688
41578,116597.524,149003.9037,California,84552.62576
96008,124635.9944,254026.7374,Florida,131051.7051
78630,122069.5322,220495.8389,California,116205.8296
19242,113298.8418,105906.5307,New York,65471.1737
